Date,Open,High,Low,Close,Currency
2010-10-21,1.6757,1.7033,1.671,1.6964,BRL
2010-10-22,1.6964,1.7133,1.6879,1.7054,BRL
2010-10-25,1.7054,1.7143,1.6944,1.6953,BRL
2010-10-26,1.6953,1.7103,1.6931,1.7028,BRL
2010-10-27,1.7028,1.7254,1.7016,1.7198,BRL
2010-10-28,1.7198,1.7208,1.7039,1.704,BRL
2010-10-29,1.704,1.7125,1.6945,1.7007,BRL
2010-11-01,1.7007,1.7093,1.6927,1.7033,BRL
2010-11-02,1.7033,1.704,1.7038,1.7037,BRL
2010-11-03,1.7043,1.7052,1.6873,1.6896,BRL
2010-11-04,1.6838,1.6884,1.6685,1.6695,BRL
2010-11-05,1.6695,1.6846,1.67,1.6785,BRL
2010-11-08,1.6783,1.702,1.6786,1.6998,BRL
2010-11-09,1.6998,1.704,1.6894,1.7002,BRL
2010-11-10,1.7002,1.7176,1.6982,1.7071,BRL
2010-11-11,1.7071,1.724,1.7042,1.7153,BRL
2010-11-12,1.7153,1.728,1.7107,1.7214,BRL
2010-11-15,1.7214,1.7221,1.7208,1.7216,BRL
2010-11-16,1.7216,1.7427,1.7207,1.7398,BRL
2010-11-17,1.7398,1.7416,1.7212,1.7259,BRL
2010-11-18,1.7259,1.7278,1.7092,1.711,BRL
2010-11-19,1.7107,1.7243,1.7065,1.7149,BRL
2010-11-22,1.7149,1.7306,1.7095,1.7208,BRL
2010-11-23,1.7228,1.7418,1.7218,1.7354,BRL
2010-11-24,1.7348,1.7352,1.7174,1.7205,BRL
2010-11-25,1.7213,1.7268,1.7167,1.7206,BRL
2010-11-26,1.735,1.7388,1.7228,1.7264,BRL
2010-11-29,1.7264,1.7348,1.7157,1.7178,BRL
2010-11-30,1.7178,1.7272,1.7118,1.7145,BRL
2010-12-01,1.7135,1.7167,1.7015,1.705,BRL
2010-12-02,1.705,1.7078,1.6954,1.6955,BRL
2010-12-03,1.6957,1.7034,1.6833,1.687,BRL
2010-12-06,1.6844,1.6924,1.6742,1.6744,BRL
2010-12-07,1.6727,1.6842,1.6676,1.6815,BRL
2010-12-08,1.6825,1.6987,1.6787,1.6893,BRL
2010-12-09,1.6877,1.7162,1.6868,1.7092,BRL
2010-12-10,1.7092,1.722,1.7023,1.7061,BRL
2010-12-13,1.7064,1.7104,1.6932,1.693,BRL
2010-12-14,1.6937,1.7003,1.6877,1.6966,BRL
2010-12-15,1.7,1.7102,1.6937,1.7093,BRL
2010-12-16,1.7085,1.7115,1.6982,1.7024,BRL
2010-12-17,1.6972,1.7182,1.6957,1.7133,BRL
2010-12-20,1.7141,1.7149,1.7053,1.7057,BRL
2010-12-21,1.7066,1.7069,1.6933,1.6947,BRL
2010-12-22,1.6956,1.7026,1.6908,1.6994,BRL
2010-12-23,1.6978,1.7028,1.6883,1.6898,BRL
2010-12-24,1.6907,1.6909,1.6901,1.6907,BRL
2010-12-27,1.6907,1.6942,1.6843,1.6851,BRL
2010-12-28,1.6821,1.6933,1.6778,1.6907,BRL
2010-12-29,1.6902,1.6922,1.6761,1.6767,BRL
2010-12-30,1.6767,1.6798,1.6593,1.6597,BRL
2010-12-31,1.6593,1.6596,1.6596,1.6593,BRL
2011-01-03,1.6593,1.6637,1.6433,1.6465,BRL
2011-01-04,1.6476,1.6732,1.6455,1.6605,BRL
2011-01-05,1.6619,1.6767,1.66,1.6732,BRL
2011-01-06,1.6731,1.6945,1.6724,1.6851,BRL
2011-01-07,1.6865,1.6915,1.677,1.6827,BRL
2011-01-10,1.6823,1.6965,1.6824,1.6883,BRL
2011-01-11,1.6875,1.6925,1.6828,1.6829,BRL
2011-01-12,1.6827,1.6831,1.6722,1.6726,BRL
2011-01-13,1.6706,1.6766,1.6652,1.6721,BRL
2011-01-14,1.6852,1.6895,1.6782,1.6851,BRL
2011-01-17,1.6861,1.6869,1.6777,1.6796,BRL
2011-01-18,1.6806,1.6808,1.6701,1.6737,BRL
2011-01-19,1.6755,1.6763,1.6661,1.67,BRL
2011-01-20,1.6715,1.6768,1.6653,1.6733,BRL
2011-01-21,1.6723,1.6794,1.6677,1.6759,BRL
2011-01-24,1.6764,1.6823,1.6686,1.6705,BRL
2011-01-25,1.671,1.6735,1.6693,1.6717,BRL
2011-01-26,1.6717,1.6724,1.6646,1.6673,BRL
2011-01-27,1.667,1.6803,1.6619,1.6757,BRL
2011-01-28,1.6757,1.6873,1.673,1.6818,BRL
2011-01-31,1.6842,1.6863,1.6659,1.667,BRL
2011-02-01,1.6669,1.6681,1.6603,1.6643,BRL
2011-02-02,1.6622,1.6688,1.6619,1.6676,BRL
2011-02-03,1.6677,1.6733,1.6645,1.6678,BRL
2011-02-04,1.6677,1.6787,1.6638,1.673,BRL
2011-02-07,1.6735,1.6805,1.6707,1.6784,BRL
2011-02-08,1.6785,1.6796,1.6628,1.6645,BRL
2011-02-09,1.6646,1.6713,1.6576,1.6566,BRL
2011-02-10,1.6561,1.6843,1.6579,1.6681,BRL
2011-02-11,1.6697,1.6783,1.6582,1.6656,BRL
2011-02-14,1.6643,1.6707,1.6622,1.6665,BRL
2011-02-15,1.6674,1.6707,1.6626,1.669,BRL
2011-02-16,1.6702,1.6747,1.6641,1.669,BRL
2011-02-17,1.6712,1.6752,1.6572,1.6563,BRL
2011-02-18,1.6624,1.6754,1.657,1.6623,BRL
2011-02-21,1.6633,1.6754,1.6617,1.6679,BRL
2011-02-22,1.6679,1.6743,1.6635,1.6711,BRL
2011-02-23,1.6711,1.6768,1.6653,1.6735,BRL
2011-02-24,1.6735,1.6751,1.6612,1.6635,BRL
2011-02-25,1.6739,1.6695,1.657,1.6622,BRL
2011-02-28,1.6622,1.6675,1.6555,1.6635,BRL
2011-03-01,1.6635,1.6646,1.6588,1.6628,BRL
